epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 0.9815705128205128 0.891426282051282
1 9.184695512820513 9.447115384615385 12.620192307692308 12.489983974358974
2 16.005608974358974 16.48838141025641 19.090544871794872 19.401041666666668
3 20.55488782051282 21.19190705128205 23.357371794871796 21.604567307692307
4 23.64783653846154 24.09455128205128 22.305689102564102 23.52764423076923
5 24.791666666666668 24.961939102564102 21.103766025641026 22.596153846153847
6 25.166266025641026 25.92948717948718 24.048477564102566 25.150240384615383
7 25.667067307692307 25.87139423076923 25.610977564102566 22.365785256410255
8 25.96153846153846 26.177884615384617 24.71955128205128 24.088541666666668
9 26.344150641025642 26.66065705128205 26.33213141025641 24.419070512820515
10 26.71875 26.937099358974358 25.931490384615383 26.612580128205128
11 26.953125 27.459935897435898 22.986778846153847 26.272035256410255
12 27.568108974358974 27.796474358974358 26.512419871794872 26.872996794871796
13 27.986778846153847 28.203125 28.094951923076923 27.52403846153846
14 28.595753205128204 28.994391025641026 27.674278846153847 28.225160256410255
15 28.756009615384617 29.565304487179485 29.146634615384617 28.325320512820515
16 29.459134615384617 29.76161858974359 28.14503205128205 28.916266025641026
17 29.883814102564102 30.302483974358974 27.984775641025642 30.088141025641026
18 30.39463141025641 30.873397435897434 29.467147435897434 28.83613782051282
19 30.94150641025641 31.40224358974359 28.28525641025641 27.403846153846153
20 31.69471153846154 31.891025641025642 29.96794871794872 30.909455128205128
21 31.923076923076923 32.24559294871795 28.876201923076923 30.57892628205128
22 32.35977564102564 32.39182692307692 31.440304487179485 31.219951923076923
23 32.49599358974359 33.06490384615385 30.76923076923077 31.01963141025641
24 32.99278846153846 33.32331730769231 31.15985576923077 31.029647435897434
25 33.37339743589744 33.76402243589744 30.128205128205128 29.937900641025642
26 33.928285256410255 33.83814102564103 31.199919871794872 31.280048076923077
27 33.958333333333336 34.51322115384615 31.470352564102566 31.760817307692307
28 34.29286858974359 34.56129807692308 31.650641025641026 32.39182692307692
29 35.00600961538461 34.95592948717949 31.891025641025642 31.991185897435898
30 35.09615384615385 35.40264423076923 31.15985576923077 31.62059294871795
31 35.55689102564103 35.86338141025641 32.43189102564103 32.0713141025641
32 35.60897435897436 36.36418269230769 32.43189102564103 33.463541666666664
33 36.50440705128205 36.41225961538461 31.310096153846153 31.680689102564102
34 36.14783653846154 36.31209935897436 32.3818108974359 33.74399038461539
35 36.79086538461539 36.73878205128205 32.922676282051285 32.93269230769231
36 36.89903846153846 37.395833333333336 32.922676282051285 33.303285256410255
37 37.4599358974359 37.033253205128204 32.99278846153846 33.102964743589745
38 37.63822115384615 37.83653846153846 33.00280448717949 32.72235576923077
39 37.84254807692308 38.11698717948718 32.421875 33.19310897435897
40 37.89863782051282 38.01682692307692 34.505208333333336 34.455128205128204
41 38.33934294871795 38.483573717948715 33.673878205128204 34.42508012820513
42 38.181089743589745 38.73798076923077 33.874198717948715 34.46514423076923
43 38.74599358974359 38.98036858974359 33.56370192307692 34.43509615384615
44 39.094551282051285 39.29286858974359 32.84254807692308 34.79567307692308
45 39.22475961538461 39.69951923076923 33.884214743589745 34.21474358974359
46 39.407051282051285 39.865785256410255 33.64383012820513 33.884214743589745
47 40.01001602564103 39.93389423076923 33.84415064102564 35.256410256410255
48 40.13621794871795 40.05408653846154 34.8056891025641 34.97596153846154
49 40.188301282051285 40.22435897435897 33.65384615384615 34.52524038461539
50 40.35657051282051 40.65504807692308 33.65384615384615 33.904246794871796
51 40.338541666666664 40.91346153846154 34.375 34.44511217948718
52 40.72315705128205 40.92147435897436 33.1630608974359 34.56530448717949
53 40.86338141025641 41.24198717948718 34.22475961538461 35.87740384615385
54 41.31209935897436 41.32211538461539 34.475160256410255 35.99759615384615
55 41.30008012820513 41.94711538461539 34.19471153846154 34.92588141025641
56 41.59855769230769 41.90304487179487 35.38661858974359 35.30649038461539
57 42.11538461538461 42.06530448717949 34.75560897435897 34.274839743589745
58 41.91907051282051 42.28365384615385 34.77564102564103 36.31810897435897
59 42.19150641025641 42.35376602564103 34.475160256410255 35.657051282051285
60 42.43189102564103 42.82051282051282 35.286458333333336 34.60536858974359
61 42.600160256410255 43.000801282051285 35.1963141025641 35.29647435897436
62 42.966746794871796 43.23317307692308 35.1161858974359 35.81730769230769
63 43.40144230769231 43.09695512820513 34.57532051282051 35.96754807692308
64 43.000801282051285 43.259214743589745 35.10616987179487 35.12620192307692
65 43.17307692307692 43.40344551282051 35.837339743589745 36.12780448717949
66 43.54366987179487 43.776041666666664 35.71714743589744 35.88741987179487
67 43.62780448717949 44.30889423076923 35.076121794871796 36.3681891025641
68 43.92227564102564 44.33092948717949 33.77403846153846 35.546875
69 43.88221153846154 44.59334935897436 35.256410256410255 36.78886217948718
70 44.240785256410255 44.529246794871796 35.286458333333336 35.60697115384615
71 44.22475961538461 44.74158653846154 35.266426282051285 36.35817307692308
72 44.47716346153846 45.052083333333336 35.8974358974359 34.485176282051285
73 44.63341346153846 44.73157051282051 34.36498397435897 35.38661858974359
74 44.65344551282051 44.83573717948718 35.266426282051285 36.999198717948715
75 45.08613782051282 45.30048076923077 35.1161858974359 35.63701923076923
76 45.35657051282051 45.87740384615385 34.274839743589745 36.71875
77 45.3125 45.36057692307692 36.56850961538461 36.88902243589744
78 45.701121794871796 45.989583333333336 35.49679487179487 35.416666666666664
79 45.47475961538461 45.87339743589744 36.50841346153846 37.4599358974359
80 45.92748397435897 46.223958333333336 34.39503205128205 36.46834935897436
81 46.02163461538461 45.97355769230769 35.73717948717949 36.25801282051282
82 45.701121794871796 46.26402243589744 35.22636217948718 36.30809294871795
83 46.52644230769231 46.921073717948715 34.44511217948718 35.94751602564103
84 46.38221153846154 46.65865384615385 35.79727564102564 36.50841346153846
85 46.740785256410255 46.97115384615385 36.18790064102564 35.416666666666664
86 46.78886217948718 47.19350961538461 36.197916666666664 35.87740384615385
