epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 0.9815705128205128 0.891426282051282
1 8.930288461538462 9.45713141025641 12.35977564102564 12.940705128205128
2 16.11778846153846 16.310096153846153 18.93028846153846 19.05048076923077
3 20.564903846153847 20.91346153846154 23.25721153846154 22.516025641025642
4 23.65985576923077 23.97636217948718 21.444310897435898 24.569310897435898
5 24.643429487179485 25.060096153846153 23.968349358974358 24.58934294871795
6 25.21434294871795 25.88341346153846 23.858173076923077 23.607772435897434
7 25.78125 25.63301282051282 23.54767628205128 24.759615384615383
8 26.13982371794872 26.51642628205128 21.834935897435898 25.71113782051282
9 26.314102564102566 26.662660256410255 24.078525641025642 24.989983974358974
10 26.78485576923077 26.89503205128205 24.939903846153847 25.080128205128204
11 27.147435897435898 27.528044871794872 25.590945512820515 26.67267628205128
12 27.864583333333332 28.006810897435898 25.76121794871795 24.899839743589745
13 28.255208333333332 28.40544871794872 27.89463141025641 26.181891025641026
14 28.776041666666668 28.850160256410255 26.682692307692307 28.23517628205128
15 29.118589743589745 29.503205128205128 29.427083333333332 27.13341346153846
16 29.647435897435898 29.791666666666668 29.647435897435898 29.346955128205128
17 30.114182692307693 30.092147435897434 29.076522435897434 30.388621794871796
18 30.81330128205128 30.659054487179485 29.70753205128205 27.89463141025641
19 30.92948717948718 31.50841346153846 27.934695512820515 29.38701923076923
20 31.72676282051282 31.674679487179485 29.076522435897434 28.60576923076923
21 32.06730769230769 32.10536858974359 28.515625 28.135016025641026
22 32.48998397435897 32.62620192307692 31.079727564102566 30.899439102564102
23 32.53405448717949 33.06690705128205 30.428685897435898 31.290064102564102
24 33.381410256410255 33.53165064102564 30.689102564102566 31.049679487179485
25 33.23918269230769 34.01442307692308 28.866185897435898 30.228365384615383
26 33.493589743589745 33.796073717948715 30.74919871794872 29.75761217948718
27 33.93429487179487 34.42307692307692 28.956330128205128 31.520432692307693
28 34.43309294871795 34.6494391025641 31.219951923076923 30.979567307692307
29 34.54727564102564 35.026041666666664 30.598958333333332 32.51201923076923
30 35.41065705128205 35.53485576923077 31.03966346153846 31.931089743589745
31 35.41866987179487 35.83934294871795 31.330128205128204 31.981169871794872
32 35.602964743589745 36.12780448717949 31.199919871794872 31.08974358974359
33 36.03165064102564 36.23597756410256 31.32011217948718 32.69230769230769
34 36.02564102564103 36.34014423076923 32.19150641025641 32.922676282051285
35 36.49238782051282 37.03125 32.3818108974359 33.29326923076923
36 37.00320512820513 37.58413461538461 32.62219551282051 32.79246794871795
37 36.84695512820513 37.634214743589745 32.08133012820513 32.8125
38 37.21554487179487 37.88261217948718 33.122996794871796 33.04286858974359
39 37.5380608974359 38.151041666666664 32.61217948717949 32.291666666666664
40 37.946714743589745 38.235176282051285 32.72235576923077 33.40344551282051
41 38.01282051282051 38.86418269230769 32.99278846153846 33.43349358974359
42 38.36538461538461 38.70192307692308 32.552083333333336 33.854166666666664
43 38.880208333333336 39.270833333333336 33.26322115384615 33.18309294871795
44 39.25480769230769 39.18469551282051 31.94110576923077 33.80408653846154
45 38.93028846153846 39.77564102564103 33.66386217948718 34.3349358974359
46 39.12059294871795 40.07011217948718 33.77403846153846 33.99439102564103
47 39.51322115384615 40.04407051282051 34.475160256410255 33.483573717948715
48 39.947916666666664 40.60496794871795 32.86258012820513 31.951121794871796
49 40.154246794871796 40.236378205128204 33.874198717948715 34.32491987179487
50 40.22235576923077 40.67508012820513 34.274839743589745 34.99599358974359
