epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 0.9815705128205128 0.891426282051282
1 13.221153846153847 12.994791666666666 22.536057692307693 22.025240384615383
2 25.765224358974358 25.893429487179485 26.602564102564102 30.268429487179485
3 32.97275641025641 33.23918269230769 38.72195512820513 37.780448717948715
4 37.25761217948718 37.634214743589745 39.29286858974359 39.44310897435897
5 37.7724358974359 38.024839743589745 41.115785256410255 41.26602564102564
6 38.24519230769231 38.35136217948718 36.6786858974359 38.171073717948715
7 38.10897435897436 38.66185897435897 38.05088141025641 39.01241987179487
8 38.38942307692308 39.12860576923077 38.772035256410255 39.61338141025641
9 39.01842948717949 39.82371794871795 39.15264423076923 37.9306891025641
10 39.75160256410256 39.8036858974359 41.94711538461539 40.29447115384615
11 40.00600961538461 40.60897435897436 39.28285256410256 42.12740384615385
12 40.783253205128204 41.09375 42.52804487179487 43.19911858974359
13 41.21594551282051 41.87900641025641 41.86698717948718 43.21915064102564
14 41.56650641025641 42.15745192307692 42.00721153846154 42.32772435897436
15 42.15144230769231 43.046875 42.63822115384615 42.578125
16 42.83052884615385 43.05288461538461 42.12740384615385 43.54967948717949
17 43.49158653846154 43.50160256410256 43.69991987179487 45.22235576923077
18 43.928285256410255 44.08253205128205 44.83173076923077 44.99198717948718
19 44.39302884615385 44.51722756410256 45.08213141025641 42.33774038461539
20 44.56730769230769 45.130208333333336 45.77323717948718 46.30408653846154
21 45.677083333333336 45.44871794871795 46.27403846153846 44.8818108974359
22 45.63701923076923 45.8974358974359 45.92347756410256 43.81009615384615
23 45.94350961538461 46.44030448717949 45.67307692307692 45.64302884615385
24 46.21594551282051 46.73477564102564 48.09695512820513 45.50280448717949
25 46.80088141025641 46.93709935897436 46.33413461538461 46.08373397435897
26 47.19951923076923 47.546073717948715 46.11378205128205 47.03525641025641
27 47.321714743589745 47.49198717948718 47.43589743589744 45.803285256410255
28 47.70432692307692 47.78846153846154 47.38581730769231 47.155448717948715
29 48.17307692307692 48.32932692307692 46.34415064102564 48.05689102564103
30 48.27724358974359 48.41746794871795 47.82652243589744 48.34735576923077
31 48.63782051282051 48.51963141025641 47.99679487179487 47.33573717948718
32 48.70192307692308 48.91025641025641 48.80809294871795 48.01682692307692
33 48.99839743589744 49.499198717948715 47.48597756410256 46.69471153846154
34 49.38501602564103 49.52724358974359 48.26722756410256 49.05849358974359
35 49.82371794871795 50.09815705128205 48.567708333333336 48.68790064102564
36 50.16225961538461 50.34855769230769 48.24719551282051 49.12860576923077
37 50.158253205128204 50.314503205128204 48.717948717948715 49.19871794871795
38 50.5088141025641 50.524839743589745 48.537660256410255 50.25040064102564
39 51.00560897435897 50.80528846153846 48.337339743589745 49.46915064102564
40 51.11778846153846 51.047676282051285 49.5693108974359 50.110176282051285
41 51.15184294871795 51.26802884615385 49.66947115384615 48.68790064102564
42 51.52644230769231 51.640625 48.91826923076923 50.861378205128204
43 51.584535256410255 51.872996794871796 50.69110576923077 49.59935897435897
44 51.88100961538461 52.09535256410256 49.87980769230769 50.22035256410256
45 52.443910256410255 52.263621794871796 49.83974358974359 49.9599358974359
46 52.51602564102564 52.65024038461539 49.84975961538461 51.091746794871796
47 52.71634615384615 52.56810897435897 49.30889423076923 50.130208333333336
48 52.8505608974359 52.99879807692308 50.92147435897436 50.500801282051285
49 52.76442307692308 52.9306891025641 50.110176282051285 51.302083333333336
50 53.13701923076923 53.2431891025641 50.05008012820513 51.22195512820513
51 53.22315705128205 53.3994391025641 49.72956730769231 51.662660256410255
52 53.40344551282051 53.56971153846154 49.59935897435897 48.908253205128204
53 53.98838141025641 53.619791666666664 49.709535256410255 50.48076923076923
54 54.16466346153846 54.09254807692308 50.62099358974359 51.65264423076923
55 54.14863782051282 54.140625 50.0 50.03004807692308
56 54.455128205128204 54.44711538461539 50.59094551282051 52.12339743589744
57 54.57532051282051 54.62940705128205 50.21033653846154 49.94991987179487
58 54.817708333333336 54.34495192307692 50.36057692307692 50.520833333333336
59 54.84775641025641 54.83373397435897 51.18189102564103 51.10176282051282
60 54.81370192307692 55.04206730769231 50.881410256410255 49.06850961538461
61 54.98197115384615 55.280448717948715 50.19030448717949 51.14182692307692
62 55.490785256410255 55.23838141025641 50.3505608974359 51.672676282051285
63 55.52884615384615 55.60496794871795 51.73277243589744 51.35216346153846
64 55.647035256410255 55.65905448717949 50.09014423076923 51.482371794871796
65 55.861378205128204 55.62099358974359 51.08173076923077 52.25360576923077
66 56.08573717948718 55.86939102564103 51.302083333333336 50.44070512820513
67 56.23798076923077 56.1318108974359 50.92147435897436 52.12339743589744
68 56.05969551282051 56.26001602564103 50.881410256410255 52.18349358974359
69 56.12179487179487 56.39423076923077 51.10176282051282 51.40224358974359
70 56.51241987179487 56.57451923076923 50.45072115384615 52.12339743589744
71 56.330128205128204 56.87900641025641 51.42227564102564 51.9931891025641
72 57.05128205128205 56.88701923076923 51.26201923076923 51.692708333333336
73 57.12139423076923 56.99719551282051 51.1318108974359 52.453926282051285
74 56.897035256410255 57.08533653846154 52.18349358974359 51.32211538461539
75 57.213541666666664 56.86298076923077 50.98157051282051 52.43389423076923
76 57.297676282051285 57.40785256410256 51.50240384615385 51.74278846153846
77 57.64022435897436 57.32371794871795 51.71274038461539 52.22355769230769
78 57.580128205128204 57.604166666666664 52.75440705128205 52.72435897435897
79 57.54807692307692 57.708333333333336 51.842948717948715 52.053285256410255
80 57.59615384615385 57.86658653846154 50.77123397435897 51.75280448717949
81 57.76842948717949 58.16907051282051 51.6025641025641 52.01322115384615
82 58.14503205128205 58.06290064102564 51.65264423076923 50.80128205128205
83 58.3193108974359 58.36338141025641 51.53245192307692 51.73277243589744
84 58.313301282051285 58.16907051282051 51.15184294871795 51.57251602564103
85 58.595753205128204 58.64783653846154 51.47235576923077 52.443910256410255
86 58.8661858974359 58.547676282051285 51.091746794871796 52.10336538461539
87 58.98036858974359 58.860176282051285 51.57251602564103 52.654246794871796
88 59.108573717948715 59.09054487179487 52.3838141025641 52.92467948717949
89 59.220753205128204 59.43910256410256 52.233573717948715 52.78445512820513
90 59.74158653846154 59.22275641025641 51.822916666666664 52.58413461538461
91 59.73557692307692 59.37099358974359 51.61258012820513 51.36217948717949
92 59.78365384615385 59.85576923076923 52.634214743589745 51.73277243589744
93 59.947916666666664 60.04807692307692 53.1650641025641 52.58413461538461
94 60.33052884615385 60.22636217948718 52.25360576923077 52.07331730769231
95 60.29647435897436 60.236378205128204 52.70432692307692 52.48397435897436
